address,district,beat,grid,crimedescr,ucr_ncic_code,latitude,longitude
2525 N ST,3,3B        ,748,487(D) PC GRAND THEFT AUTO,2404,38.57042066,-121.4740683
33RD ST / 3RD AVE,6,6A        ,1011,647(B) PC   PROSTITUTION,4004,38.55234985,-121.4711067
6460 ROMACK CIR,4,4B        ,1333,11377(A)HS POSS AMPHETAMINES,3572,38.51018598,-121.4900812
MARTIN LUTHER KING JR BLVD / 7TH AVE,6,6A        ,1032,475(A)PC POSS FORGED CHK/NOTE,2506,38.54528535,-121.464715
15 MORNING DOVE CIR,1,1C        ,425,10851(A)VC TAKE VEH W/O OWNER,2404,38.61949324,-121.4962856
7600 AMBROSE WAY,4,4C        ,1294,484 PC PETTY THEFT,2399,38.48214296,-121.534651
515 EL CAMINO AVE,2,2B        ,563,FRAUD OR BUNCO - I RPT,7000,38.61138144,-121.455557
32ND ST / 1ST AVE,6,6A        ,1011,647(B) PC   PROSTITUTION,4004,38.55477924,-121.4715398
1040 FLORIN RD,4,4C        ,1287,476 PC PASS FICTICIOUS CHECK,2501,38.49466185,-121.5212433
EL CAMINO AVE / DEL PASO BLVD,2,2C        ,563,NON INJ HR/MAIL OUT REPORT,7000,38.61112661,-121.4487064
577 LAS PALMAS AVE,2,2B        ,542,10851(A)VC TAKE VEH W/O OWNER,2404,38.61950804,-121.4535138
FRUITRIDGE RD / SAMPSON BLVD,6,          ,1084,TOWED/STORED VEH-14602.6,7000,38.524921,-121.4494106
11TH AVE / 53RD ST,6,6B        ,1036,TOWED/STORED VEH-14602.6,7000,38.54215599,-121.4439667
CAPITOL AVE / ALHAMBRA BLVD,3,3C        ,841,TRAFFIC-ACCIDENT INJURY,5400,38.56944762,-121.4666533
5600 FOLSOM BLVD,3,3C        ,855,476 PC PASS FICTICIOUS CHECK,2501,38.55792771,-121.43864
1140 WESTWARD WAY,1,1C        ,416,10851(A)VC TAKE VEH W/O OWNER,2404,38.6259957,-121.4869215
6730 4TH AVE,6,6C        ,1111,ASSAULT WITH WEAPON - I RPT,7000,38.54783739,-121.4243203
36TH ST / 3RD AVE,6,6A        ,1013,647(B) PC   PROSTITUTION,4004,38.55128541,-121.4671318
1821 EXPOSITION BLVD,2,2C        ,628,242 PC  BATTERY CIVILIAN,1313,38.59577758,-121.4262601
7767 LA RIVIERA DR,3,3C        ,888,484 PETTY THEFT/LICENSE PLATE,2399,38.55575132,-121.411779
521 INDIANA AVE,1,1C        ,429,594(B)(1)PC  VANDALISM +$400,2999,38.61972393,-121.4746566
SAN JUAN RD / TRUXEL RD,1,1B        ,404,594(B)(1)VANDALISM GRAF +$400,2999,38.62741952,-121.4978994
5707 SPILMAN AVE,3,3C        ,874,594(B)(2)(A) VANDALISM/ -$400,2999,38.57562396,-121.4260374
7494 FRANKLIN BLVD,5,5B        ,1602,594(B)(2)(A) VANDALISM/ -$400,2999,38.48617977,-121.4549077
4100 NORTHGATE BLVD,1,1C        ,309,487(A) PC GRAND THEFT-SHOPLIFT,2303,38.64316291,-121.4745819
1600 EXPO PKWY,2,2C        ,623,459 PC  BURGLARY BUSINESS,2203,38.59714644,-121.4520581
4391 BURGESS DR,2,2A        ,233,10851(A)VC TAKE VEH W/O OWNER,2404,38.6474367,-121.4534502
4100 NORTHGATE BLVD,1,1C        ,309,459 PC  BURGLARY VEHICLE,2299,38.64316291,-121.4745819
5770 FREEPORT BLVD,4,4C        ,985,594(B)(2)(A) VANDALISM/ -$400,2999,38.52199137,-121.4990149
WEALD WAY / GRASSLANDS DR,1,1B        ,421,484 PETTY THEFT/LICENSE PLATE,2399,38.61732525,-121.5198701
3345 SMOKE TREE DR,1,1B        ,401,594(B)(2)(A) VANDALISM/ -$400,2999,38.62896755,-121.5066925
MARTIN LUTHER KING JR BLVD / 9TH AVE,6,6A        ,1042,TOWED/STORED VEH-14602.6,7000,38.54395353,-121.4647075
DIXIEANNE AVE / BEAUMONT ST,2,2C        ,603,12.72.060I ADULT LOITER PLYGRD,7399,38.60930781,-121.4485
WOODBINE AVE / 50TH AVE,4,4B        ,1336,23103(A) RECKLESS ON HIGHWAY,5499,38.50686233,-121.4787544
BROADWAY / STOCKTON BLVD,6,6A        ,1007,TRAFFIC-ACCIDENT-NON INJURY,5400,38.54675579,-121.4538401
1646 KATHLEEN AVE,2,2B        ,556,ACCIDENTAL FIRES/ARSON -I RPT,7000,38.62147929,-121.4278524
5501 48TH ST,6,6B        ,1084,FRAUD OR BUNCO - I RPT,7000,38.525636,-121.4473287
6670 VALLEY HI DR,5,5C        ,1624,MISCELLANEOUS I RPT (ZMISC),7000,38.47245555,-121.4270863
620 23RD ST,3,3B        ,727,459 PC  BURGLARY RESIDENCE,2204,38.5793726,-121.4747124
3038 CLAY ST,2,2B        ,545,245(A)(1)AWDW/NO FIREARM/CIVIL,1315,38.62247542,-121.4389474
3561 TRUXEL RD,1,1A        ,337,459 PC  BURGLARY VEHICLE,2299,38.63449242,-121.5028488
5538 BRAMPTON WAY,1,1A        ,104,459 PC  BURGLARY VEHICLE,2299,38.67732505,-121.5168735
6125 HERMOSA ST,4,4B        ,1326,10851 VC AUTO THEFT LOCATE,2404,38.51434816,-121.4800628
1412 BREWERTON DR,1,1B        ,435,10851(A)VC TAKE VEH W/O OWNER,2404,38.61542969,-121.4919849
MACARTHUR ST / MAJESTIC LN,2,2A        ,238,TOWED/STORED VEHICLE,7000,38.64191945,-121.4216347
3000 ACADEMY WAY,2,2B        ,556,3056 PAROLE VIO - I RPT,7000,38.62009248,-121.426719
1200 N B ST,3,3A        ,706,849(B)(1) CERTIFICATE OF RELEA,7000,38.59007055,-121.4856685
7534 RUSH RIVER DR,4,4C        ,1292,459 PC  BURGLARY VEHICLE,2299,38.48538062,-121.5374388
4043 SHERMAN WAY,6,6B        ,1003,459 PC  BURGLARY VEHICLE,2299,38.55462435,-121.458819
RIO LINDA BLVD / LAMPASAS AVE,2,2B        ,563,TOWED/STORED VEHICLE,7000,38.61474191,-121.4461725
11TH AVE / DAVID WAY,6,6B        ,1047,NARCOTICS SUSP/EVID/ACT- I RPT,7000,38.54221766,-121.4374105
2 TIMBERWOOD CT,1,1B        ,434,10851(A)VC TAKE VEH W/O OWNER,2404,38.61295423,-121.5005071
2031 ETHAN WAY,2,2C        ,617,246 PC SHOOT OCCUP DWELL/VEH,5213,38.60307405,-121.420291
STOCKTON BLVD / ELSIE AVE,5,5C        ,1607,20002(A) HIT/RUN,5401,38.47433721,-121.4189709
8347 VALLEY LARK DR,5,5C        ,1644,10851(A)VC TAKE VEH W/O OWNER,2404,38.45471595,-121.4381169
5413 61ST ST,6,6B        ,1088,459 PC  BURGLARY VEHICLE,2299,38.52555366,-121.43427
1646 KATHLEEN AVE,2,2B        ,556,TOWED/STORED VEHICLE,7000,38.62147929,-121.4278524
MACK RD / ARCHEAN WAY,5,5B        ,1614,529 PC FALSE PERSONATION,2604,38.47614715,-121.4598152
951 SONOMA AVE,2,2B        ,544,10851 VC AUTO THEFT LOCATE,2404,38.62406654,-121.4448995
6500 Q ST,3,3C        ,856,211 PC  ROBBERY UNSPECIFIED,1299,38.55269382,-121.4274073
9 INLET CT,1,1B        ,434,5150 WI DANGER SELF/OTHERS,7000,38.61696967,-121.5000765
78 THATCHER CIR,5,5B        ,1604,10851(A)VC TAKE VEH W/O OWNER,2404,38.47587793,-121.4395992
3927 HAYWOOD ST,2,2A        ,504,484 PC   THEFT-LIC PLATE TABS,2399,38.63936687,-121.4408906
20TH AVE / 36TH ST,6,6A        ,1061,11364 HS POSS DRUG PARAPH,3599,38.53450711,-121.4681974
3314 LUNA NUEVO ST,2,2B        ,532,10851(A)VC TAKE VEH W/O OWNER,2404,38.627317,-121.4534085
651 I ST,3,3M        ,732,CASUALTY REPORT,7000,38.58314743,-121.4974099
WASHINGTON AVE / 14TH AVE,6,6A        ,1042,TOWED/STORED VEH-14602.6,7000,38.53944483,-121.4629583
2418 T ST,3,3B        ,788,459 PC  BURGLARY VEHICLE,2299,38.56374165,-121.4787306
2519 C ST,3,3B        ,718,459 PC  BURGLARY RESIDENCE,2204,38.58276198,-121.4688872
LAWRENCE DR / STOCKTON BLVD,6,6B        ,1086,TOWED/STORED VEH-14602.6,7000,38.52983357,-121.4448282
1500 7TH ST,3,3A        ,763,459 PC  BURGLARY VEHICLE,2299,38.57615249,-121.5003415
5531 24TH ST,4,4B        ,977,532 PC FRAUD OBTAIN MONEY ETC,2699,38.52532078,-121.4830904
2936 LOGANSPORT DR,1,1A        ,123,530.5 PC USE PERSONAL ID INFO,2604,38.66298106,-121.5270363
1820 FRIENZA AVE,2,2C        ,568,459 PC  BURGLARY BUSINESS,2203,38.61199425,-121.4244182
68TH AVE / 21ST ST,5,5A        ,1364,11351.5 HS POSS SALE RCK COCAI,3532,38.4890423,-121.491965
1720 L ST,3,3M        ,746,459 PC  BURGLARY VEHICLE,2299,38.57500761,-121.4841051
3200 TRUXEL RD,1,1C        ,414,459 PC  BURGLARY VEHICLE,2299,38.62648616,-121.4966948
5440 9TH AVE,6,6B        ,1036,459 PC  BURGLARY VEHICLE,2299,38.54327657,-121.4417342
5750 KEVINBERG DR,5,5C        ,1644,594(B)(2)(A) VANDALISM/ -$400,2999,38.45543018,-121.4370462
1217 D ST,3,3A        ,715,5150 WI DANGER SELF/OTHERS,7000,38.58618556,-121.4870224
MACK RD / DEER CREEK DR,5,5B        ,1614,20002(A) HIT/RUN,5401,38.47431603,-121.4546419
MARTIN LUTHER KING JR BLVD / BROADWAY,6,6A        ,1014,11364 HS POSS DRUG PARAPH,3599,38.54718283,-121.4647218
4800 WESTLAKE PKWY,1,1A        ,130,459 PC  BURGLARY VEHICLE,2299,38.65798545,-121.541883
H ST / ALHAMBRA BLVD,3,3C        ,821,11364 HS POSS DRUG PARAPH,3599,38.57498057,-121.4642474
12TH ST / E ST,3,3A        ,715,245(A)(1)AWDW/NO FIREARM/CIVIL,1315,38.58506592,-121.4884229
3555 AUBURN BLVD,2,2A        ,509,MISSING PERSON,7000,38.63862878,-121.3815598
1044 SONOMA AVE,2,2B        ,544,594(B)(1)PC  VANDALISM +$400,2999,38.62346829,-121.4426884
1250 WHITNEY AVE,3,3A        ,764,594(B)(1)VANDALISM GRAF +$400,2999,38.57100991,-121.4935219
W EL CAMINO AVE / NORTHGATE BLVD,1,1C        ,429,TOWED/STORED VEHICLE,7000,38.61124309,-121.4755625
8174 ELDER CREEK RD,6,6C        ,1446,10851 VC AUTO THEFT LOCATE,2404,38.51048773,-121.406008
910 UNIVERSITY AVE,3,3C        ,876,459 PC  BURGLARY BUSINESS,2203,38.56412181,-121.417918
3724 47TH ST,6,6A        ,1053,245(A)(2) AWDW/FIREARM/CIVILIA,1315,38.54066622,-121.4517155
76 GOOSE HAVEN CT,1,1A        ,303,246 PC SHOOT OCCUP DWELL/VEH,5213,38.64674718,-121.5324558
1204 56TH AVE,4,4C        ,1278,10851(A)VC TAKE VEH W/O OWNER,2404,38.50111994,-121.5139178
2860 GATEWAY OAKS DR,1,1B        ,421,10851 VC AUTO THEFT LOCATE,2404,38.62210853,-121.5191764
6305 MCMAHON DR,6,6B        ,1402,245(A)(1)AWDW/NO FIREARM/CIVIL,1315,38.51995809,-121.4304905
6305 MCMAHON DR,6,6B        ,1402,23153(A) VC DUI CAUSE INJURY,5404,38.51995809,-121.4304905
5770 FREEPORT BLVD,4,4C        ,985,5150 WI DANGER SELF/OTHERS,7000,38.52199137,-121.4990149
211 HEMFORD CIR,5,5A        ,1502,ACCIDENTAL FIRES/ARSON -I RPT,7000,38.47764806,-121.4891676
1610 ARDEN WAY,2,2C        ,628,594(B)(1)PC  VANDALISM +$400,2999,38.5985901,-121.4286169
24 SANTIAGO AVE,2,2B        ,551,10851(A)VC TAKE VEH W/O OWNER,2404,38.61188095,-121.4655275
20TH ST / E ST,3,3B        ,716,TOWED/STORED VEH-14602.6,7000,38.58215599,-121.4775255
87 SANDBURG DR,3,3C        ,879,459 PC  BURGLARY RESIDENCE,2204,38.57294064,-121.4248243
90 ARDEN WAY,2,2C        ,611,10851(A)VC TAKE VEH W/O OWNER,2404,38.60590997,-121.4646484
1133 48TH ST,3,3C        ,845,459 PC  BURGLARY RESIDENCE,2204,38.56519016,-121.4442104
24TH ST / 53RD AVE,4,4B        ,1346,TOWED/STORED VEH-14602.6,7000,38.50305262,-121.4827938
5770 FREEPORT BLVD,4,4C        ,985,CAR CLOUT -  I RPT,7000,38.52199137,-121.4990149
1535 ARCADE BLVD,2,2B        ,537,TOWED/STORED VEH-14602.6,7000,38.62599581,-121.4316422
2673 ALTOS AVE,2,2B        ,552,11350(A)HS POSS CNTRL SUBST,3532,38.6161187,-121.4504318
815 19TH ST,3,3B        ,736,459 PC  BURGLARY RESIDENCE,2204,38.57871645,-121.4802163
PALO VERDE AVE / MARYSVILLE BLVD,2,2B        ,546,TOWED/STORED VEHICLE,7000,38.62354293,-121.434294
24TH ST / JOHN STILL DR,5,5A        ,1504,TRAFFIC-ACCIDENT-NON INJURY,5400,38.47732859,-121.4803322
731 SAN JUAN RD,1,1C        ,406,211 PC ROBBERY-PURSE SNATCH,1210,38.62996703,-121.4784703
6617 LAKE PARK DR,4,4C        ,1276,484 PC  PETTY THEFT/ OUTSIDE,2309,38.50634715,-121.5169435
5645 POP BECKER ST,1,1A        ,106,530.5 PC USE PERSONAL ID INFO,2604,38.67745476,-121.5027381
MARYSVILLE BLVD / ARCADE BLVD,2,2B        ,537,TOWED/STORED VEHICLE,7000,38.62541828,-121.433145
GRAND AVE / WILLOW ST,2,2A        ,506,TOWED/STORED VEH-14602.6,7000,38.63647046,-121.429178
4101 INNOVATOR DR,1,1A        ,336,602(L)(1)TRESPASS REFUSE TO LV,5707,38.64420903,-121.5129034
2415 E ST,3,3B        ,717,ACCIDENTAL FIRES/ARSON -I RPT,7000,38.58088731,-121.4714654
ARCADE BLVD / MARYSVILLE BLVD,2,2B        ,537,TOWED/STORED VEH-14602.6,7000,38.62541828,-121.433145
7TH ST / K ST,3,3M        ,742,WARRANT SERVED - I RPT,7000,38.58026647,-121.4979339
2940 TRAP ROCK WAY,1,1A        ,111,484G(A)PC USE FORGED CARD,2605,38.66719342,-121.5277369
YREKA AVE / 24TH ST,4,4B        ,1356,TOWED/STORED VEH-14602.6,7000,38.49850245,-121.4827604
DEL PASO BLVD / MARYSVILLE BLVD,2,2B        ,546,TOWED/STORED VEH-14602.6,7000,38.6183743,-121.4392211
ELDER CREEK RD / FLORIN PERKINS RD,6,6C        ,1427,TRAFFIC-ACCIDENT INJURY,5400,38.51055822,-121.3905289
1560 MAYFIELD ST,1,1A        ,136,484 PETTY THEFT/LICENSE PLATE,2399,38.66234122,-121.4951282
6633 GLORIA DR,4,4C        ,1274,459 PC  BURGLARY RESIDENCE,2204,38.50635324,-121.5277277
2620 69TH AVE,5,5A        ,1396,TOWED/STORED VEHICLE,7000,38.48664963,-121.4769699
480 REDWOOD AVE,2,2C        ,602,MISSING PERSON,7000,38.60992783,-121.456513
1546 34TH ST,3,3C        ,851,CASUALTY REPORT,7000,38.56587673,-121.4646165
3066 BRIDGEFORD DR,1,1C        ,416,10851(A)VC TAKE VEH W/O OWNER,2404,38.62363032,-121.4866655
2901 TRUXEL RD,1,1B        ,424,459 PC  BURGLARY VEHICLE,2299,38.61890556,-121.5000769
3541 KROY WAY,6,6B        ,1038,459 PC  BURGLARY RESIDENCE,2204,38.5425445,-121.4284607
1660 ARCADE BLVD,2,2B        ,546,TOWED/STORED VEH-14602.6,7000,38.62595817,-121.4290136
33RD ST / 3RD AVE,6,6A        ,1011,484 PC   PETTY THEFT/INSIDE,2308,38.55234985,-121.4711067
H ST / 51ST ST,3,3C        ,825,TOWED/STORED VEHICLE,7000,38.56913281,-121.4406785
6879 14TH AVE,6,6C        ,1121,GANG ACTIVITY - I RPT,7000,38.54146972,-121.4254625
MACK RD / TANGERINE AVE,5,5B        ,1604,LOST PROPERTY - I RPT,7000,38.47427504,-121.4465943
STOCKTON BLVD / LAWRENCE DR,6,6B        ,1086,TRAFFIC-ACCIDENT INJURY,5400,38.52983357,-121.4448282
19 E AL CT,2,2A        ,231,TELEPEST -I RPT,7000,38.64681802,-121.4650379
GLEN ARVEN WAY / BREWERTON DR,1,1B        ,427,TOWED/STORED VEHICLE,7000,38.61589986,-121.4902491
7500 14TH AVE,6,6C        ,1132,242 PC  BATTERY CIVILIAN,1313,38.53876157,-121.416555
W RAILROAD AVE / 14TH AVE,6,6C        ,1132,TRAFFIC-ACCIDENT-NON INJURY,5400,38.5395643,-121.4134753
FRUITRIDGE RD / 65TH STREET EXPY,6,6B        ,1141,TRAFFIC-ACCIDENT INJURY,5400,38.52507559,-121.427517
3700 DEL PASO RD,1,1A        ,301,GANG ACTIVITY - I RPT,7000,38.65550746,-121.5556894
1000 18TH ST,3,3M        ,746,487(A) PC GRAND THEFT,2303,38.57715166,-121.4827568
2562 TRACTION AVE,2,2B        ,563,10851 VC AUTO THEFT LOCATE,2404,38.61341962,-121.4527905
ARCADE BLVD / MARYSVILLE BLVD,2,2B        ,537,TOWED/STORED VEH-14602.6,7000,38.62541828,-121.433145
8816 GARDEN GLEN WAY,3,3C        ,1106,459 PC  BURGLARY VEHICLE,2299,38.5545627,-121.3802811
6222 RIVERSIDE BLVD,4,4C        ,1251,290(F)1 W/I 5 DAYS ADD CHANGE,3699,38.51446243,-121.5298585
8175 ALPINE AVE,6,6C        ,1134,SUSP PERS-NO CRIME - I RPT,7000,38.53630908,-121.4056953
1530 ARCADE BLVD,2,2B        ,546,TOWED/STORED VEH-14602.6,7000,38.62529673,-121.4318753
16TH ST / W ST,3,3A        ,785,TOWED/STORED VEHICLE,7000,38.56382548,-121.491401
MARYSVILLE BLVD / ROANOKE AVE,2,2A        ,516,TOWED/STORED VEH-14602.6,7000,38.63466859,-121.4301867
WESTERN AVE / FORD RD,2,2B        ,531,10851 VC AUTO THEFT LOCATE,2404,38.62868558,-121.468398
5551 WARDELL WAY,5,5C        ,1605,459 PC  BURGLARY RESIDENCE,2204,38.47943831,-121.4376744
HELEN WAY / FRUITRIDGE RD,4,4B        ,976,TRAFFIC-ACCIDENT INJURY,5400,38.52475578,-121.4919171
3500 FLORIN RD,5,5B        ,1367,496(A) RECEIVE STOLEN PROPERTY,2803,38.49407763,-121.4673944
8009 BRUCEVILLE RD,5,5C        ,1639,MISSING PERSON,7000,38.46499591,-121.4174193
3110 W ST,6,6A        ,1001,242 PC  BATTERY CIVILIAN,1313,38.55766731,-121.471396
2930 MARYSVILLE BLVD,2,2B        ,546,TOWED/STORED VEHICLE,7000,38.62020172,-121.4366726
1418 PALO VERDE AVE,2,2B        ,546,PETTY THEFT - I RPT,7000,38.6220841,-121.4341446
SITKA ST / MINT ST,3,3A        ,709,11350(A)HS POSS CNTRL SUBST,3532,38.59278496,-121.4841374
401 W EL CAMINO AVE,1,1C        ,429,4140 BP  POSS OF HYPO NEEDLE,3599,38.61142717,-121.4719599
1021 OLIVERA WAY,2,2B        ,564,TOWED/STORED VEHICLE,7000,38.61449687,-121.442601
DEL PASO BLVD / EL CAMINO AVE,2,2C        ,563,11364 HS POSS DRUG PARAPH,3599,38.61112661,-121.4487064
3301 FONG RANCH RD,1,1B        ,404,GANG ACTIVITY - I RPT,7000,38.63020663,-121.4959999
FAIR OAKS BLVD / CAMELLIA AVE,3,3C        ,879,TRAFFIC-ACCIDENT INJURY,5400,38.56853798,-121.4251955
7TH ST / L ST,3,3M        ,742,242 PC  BATTERY CIVILIAN,1313,38.5791674,-121.4984069
6879 14TH AVE,6,6C        ,1121,415(1) PC DISTURB PEACE/FIGHT,5311,38.54146972,-121.4254625
R ST / 16TH ST,3,3A        ,766,TOWED/STORED VEHICLE,7000,38.5692795,-121.4890397
2250 68TH AVE,5,5A        ,1384,GANG ACTIVITY - I RPT,7000,38.48934244,-121.4859396
OLMSTEAD DR / KINNAIRD WAY,2,2B        ,531,TOWED/STORED VEH-14602.6,7000,38.62218315,-121.4659998
732 HAYES AVE,2,2B        ,522,10851 VC AUTO THEFT LOCATE,2404,38.63024715,-121.4493987
2101 C ST,3,3B        ,717,FOUND PROPERTY - I RPT,7000,38.58388345,-121.4745497
5821 S LAND PARK DR,4,4C        ,1227,BURGLARY - I RPT,7000,38.52078633,-121.5119629
2681 FAIRFIELD ST,2,2B        ,552,10851 VC AUTO THEFT LOCATE,2404,38.6161168,-121.4529308
2451 MEADOWVIEW RD,5,5A        ,1396,245(A)(1)AWDW/NO FIREARM/CIVIL,1315,38.48199912,-121.4784328
8341 FOLSOM BLVD,3,3C        ,1115,211 PC  ROBBERY UNSPECIFIED,1299,38.5474759,-121.3980671
6715 GLORIA DR,4,4C        ,1272,GANG ACTIVITY - I RPT,7000,38.50298477,-121.5346969
547 L ST,3,3M        ,742,HOMICIDE ASSAULT - I RPT,7000,38.58184562,-121.5011657
6715 GLORIA DR,4,4C        ,1272,GANG ACTIVITY - I RPT,7000,38.50298477,-121.5346969
8391 FOLSOM BLVD,3,3C        ,1115,666 PC PETTY THEFT W/PRI CONV,2399,38.54818818,-121.3940644
SHINING STAR DR / SPARROWOOD WAY,5,5B        ,1399,GANG ACTIVITY - I RPT,7000,38.48455742,-121.4656033
4611 S LAND PARK DR,4,4A        ,1205,23152(A) VC DUI-ALCOHOL/DRUGS,5404,38.53317666,-121.5069385
3555 AUBURN BLVD,2,2A        ,509,MISSING PERSON,7000,38.63862878,-121.3815598
8291 CARIBBEAN WAY,3,3C        ,898,FOUND PROPERTY - I RPT,7000,38.55804061,-121.3998489
4533 CEDARWOOD WAY,5,5B        ,1603,1708 US   THEFT OF MAIL,2310,38.48371518,-121.4516915
1407 21ST ST,3,3B        ,767,487(A) GRAND THEFT-COIN MACHIN,2307,38.57160034,-121.48052
3976 ROBINRIDGE WAY,5,5B        ,1399,484E(D)PC FRAUD POSS CARD INFO,2605,38.48574227,-121.4611611
14TH AVE / MARTIN LUTHER KING JR BLVD,6,6A        ,1042,11378 HS POSS/SALE AMPHETAMINE,3571,38.53952458,-121.4647617
70 SEAVEY CIR,4,4A        ,912,11357(C)HS POSS +28.5GR MARIJ,3562,38.5601973,-121.5122704
441 KESNER AVE,2,2A        ,512,MISCELLANEOUS I RPT (ZMISC),7000,38.63410573,-121.455905
19TH ST / O ST,3,3B        ,766,TRAFFIC-ACCIDENT-NON INJURY,5400,38.57150442,-121.4836302
CONGRESS AVE / ALVARADO BLVD,2,2B        ,525,10851 VC AUTO THEFT LOCATE,2404,38.62991663,-121.4394524
3RD ST / K ST,3,3M        ,742,WARRANT SERVED - I RPT,7000,38.58165678,-121.5032275
1901 ARDEN WAY,2,2C        ,620,10851(A)VC TAKE VEH W/O OWNER,2404,38.59875634,-121.4211729
35TH ST / BROADWAY,6,6A        ,1013,242 PC  BATTERY CIVILIAN,1313,38.55155803,-121.4684935
5451 LEMON HILL AVE,6,6B        ,1421,GANG ACTIVITY - I RPT,7000,38.51750189,-121.4409152
7150 24TH ST,4,4B        ,1354,487(A) PC GRAND THEFT,2303,38.49689915,-121.4828349
3555 AUBURN BLVD,2,2A        ,509,MISSING PERSON,7000,38.63862878,-121.3815598
13TH ST / D ST,3,3A        ,715,TRAFFIC-ACCIDENT INJURY,5400,38.58573502,-121.4863575
2311 LARAMIE LN,2,2C        ,606,TOWED/STORED VEHICLE,7000,38.60781149,-121.4220758
MOREY AVE / ALTOS AVE,2,2A        ,512,TOWED/STORED VEHICLE,7000,38.63472676,-121.4478727
6842 LINDBROOK WAY,5,5C        ,1637,459 PC  BURGLARY RESIDENCE,2204,38.46791937,-121.4226974
GREENHAVEN DR / FLORIN RD,4,4C        ,1275,484 PC  PETTY THEFT/ OUTSIDE,2309,38.49590431,-121.5235515
3250 MEADOWVIEW RD,5,5A        ,1505,459 PC  BURGLARY VEHICLE,2299,38.47826995,-121.46994
MARYSVILLE BLVD / PALO VERDE AVE,2,2B        ,546,TOWED/STORED VEHICLE,7000,38.62354293,-121.434294
MANDY DR / MEADOWGATE DR,5,5B        ,1369,11357(B)HS POSS -28.5GR MARIJ,3562,38.49311839,-121.4595052
1425 YOUNGS AVE,2,2A        ,239,FOUND PROPERTY - I RPT,7000,38.64518402,-121.4326726
7825 GRANDSTAFF DR,5,5C        ,1623,10851(A)VC TAKE VEH W/O OWNER,2404,38.46956131,-121.4332115
7259 ALPINE FROST DR,5,5C        ,1637,487(D)GRAND THEFT FIREARM/ANIM,2399,38.46025863,-121.4184079
EL CAMINO AVE / DEL PASO BLVD,2,2C        ,563,TOWED/STORED VEH-14602.6,7000,38.61112661,-121.4487064
ALAMOS AVE / MARYSVILLE BLVD,2,2B        ,546,TOWED/STORED VEHICLE,7000,38.61936618,-121.4382088
1701 ARDEN WAY,2,2C        ,619,459 PC  BURGLARY BUSINESS,2203,38.60027317,-121.4252477
NORWOOD AVE / JESSIE AVE,2,2A        ,233,TOWED/STORED VEH-14602.6,7000,38.64404243,-121.4568936
NOGALES ST / OSMER LN,2,2B        ,525,12025(A)1)CONCLD GUN VEH/FEL,5202,38.63153999,-121.4367266
STOCKTON BLVD / LEMON HILL AVE,6,6B        ,1401,TRAFFIC-ACCIDENT INJURY,5400,38.51585289,-121.4383522
2241 ROYALE RD,2,2C        ,616,10851(A)VC TAKE VEH W/O OWNER,2404,38.6059953,-121.4284911
3001 OTTUMWA DR,1,1A        ,123,459 PC  BURGLARY BUSINESS,2203,38.66144962,-121.5292529
RIVERSIDE BLVD / W ST,3,3A        ,784,TRAFFIC-ACCIDENT INJURY,5400,38.56567077,-121.4983269
480 LITTLE RIVER WAY,4,4C        ,1284,484 PC  PETTY THEFT/ OUTSIDE,2309,38.4894192,-121.5427895
50 THATCHER CIR,5,5B        ,1604,459 PC  BURGLARY VEHICLE,2299,38.47587955,-121.4410698
ARENA BLVD / INNOVATOR DR,1,1A        ,305,TRAFFIC-ACCIDENT INJURY,5400,38.64600077,-121.5132343
1814 19TH ST,3,3A        ,776,475(A)PC POSS FORGED CHK/NOTE,2506,38.56796664,-121.4852542
4995 STOCKTON BLVD,6,6B        ,1086,476 PC PASS FICTICIOUS CHECK,2501,38.53046628,-121.4433516
3173 MARYSVILLE BLVD,2,2B        ,545,NON INJ HR/MAIL OUT REPORT,7000,38.62496247,-121.4337087
ETHEL WAY / FRUITRIDGE RD,6,          ,1084,459 PC  BURGLARY VEHICLE,2299,38.52491808,-121.4522664
4100 NORTHGATE BLVD,1,1C        ,309,484 PC PETTY THEFT,2399,38.64316291,-121.4745819
WATT AVE / US 50 EB,3,3C        ,1106,NON INJ HR/MAIL OUT REPORT,7000,38.55863257,-121.3793225
1701 ARDEN WAY,2,2C        ,619,484 PETTY THEFT-SHOPLIFT,2303,38.60027317,-121.4252477
14TH AVE / 60TH ST,6,6B        ,1058,20001(A) VC HIT/RUN INJ/DEATH,5401,38.53951607,-121.4352432
1760 SOUTH AVE,2,2B        ,526,SAFEKEEPING - I RPT,7000,38.63253662,-121.4260658
1886 ARDEN WAY,2,2C        ,628,484 PC PETTY THEFT,2399,38.5978936,-121.4238252
MACK RD / FRANKLIN BLVD,5,5B        ,1603,TOWED/STORED VEH-14602.6,7000,38.47429277,-121.4503108
4700 NATOMAS BLVD,1,1A        ,145,666 PC PETTY THEFT W/PRI CONV,2399,38.65941872,-121.5096441
1993 LEFORD WAY,5,5A        ,1512,459 PC  BURGLARY RESIDENCE,2204,38.47215453,-121.4912852
NORWOOD AVE / LAS PALMAS AVE,2,2B        ,542,484 PC  PETTY THEFT/ OUTSIDE,2309,38.61874708,-121.4569463
1730 I ST,3,3M        ,736,459 PC  BURGLARY VEHICLE,2299,38.57829626,-121.482654
3020 FLORIN RD,5,5A        ,1365,211 PC  ROBBERY UNSPECIFIED,1299,38.49547672,-121.4718913
