"Number","Name","Generation","About","Types__001","Types__002","Resistant__001","Resistant__002","Resistant__003","Resistant__004","Resistant__005","Resistant__006","Resistant__007","Resistant__008","Resistant__009","Resistant__010","Resistant__011","Resistant__012","Weaknesses__001","Weaknesses__002","Weaknesses__003","Weaknesses__004","Weaknesses__005","Weaknesses__006","Weaknesses__007","Fast Attack(s)__Name","Fast Attack(s)__Type","Fast Attack(s)__Damage","Special Attack(s)__Name","Special Attack(s)__Type","Special Attack(s)__Damage","Weight__Minimum","Weight__Maximum","Height__Minimum","Height__Maximum","Buddy Distance","Base Stamina","Base Attack","Base Defense","Base Flee Rate","Pokèmon Class","MYTHIC","LEGENDARY","Common Capture Area","North America","Western Europe","Australia, New Zealand","Asia","Previous evolution(s)__Number","Previous evolution(s)__Name","Next Evolution Requirements__Amount","Next Evolution Requirements__Name","Next evolution(s)__Number","Next evolution(s)__Name","MaxCP","MaxHP"
"084","Doduo","Generation I","Doduo's two heads never sleep at the same time. Its two heads take turns sleeping, so one head can always keep watch for enemies while the other one sleeps.","Normal","Flying","Grass","Ground","Bug","Ghost","","","","","","","","","Electric","Ice","Rock","","","","","Peck","Flying","10","Aerial Ace","Flying","30","34.3kg","44.1kg","1.22m","1.57m","3km (Medium)","70 stamina points.","158 attack points.","88 defense points.","10% chance to flee.","","","","","","","","","","","50","Doduo candies","85","Dodrio","746","855"
"","","","","","","","","","","","","","","","","","","","","","","","","","Quick Attack","Normal","10","Drill Peck","Flying","40","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Swift","Normal","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"085","Dodrio","Generation I","Watch out if Dodrio's three heads are looking in three separate directions. It's a sure sign that it is on its guard. Don't go near this Pokémon if it's being wary-it may decide to peck you.","Normal","Flying","Grass","Ground","Bug","Ghost","","","","","","","","","Electric","Ice","Rock","","","","","Feint Attack","Dark","12","Aerial Ace","Flying","30","74.55kg","95.85kg","1.57m","2.02m","3km (Big)","120 stamina points.","218 attack points.","145 defense points.","6% chance to flee.","","","","","","","","","84","Doduo","","","","","1677","1836"
"","","","","","","","","","","","","","","","","","","","","","","","","","Steel Wing","Steel","15","Air Cutter","Flying","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Drill Peck","Flying","40","","","","","","","","","","","","","","","","","","","","","","","","",""
"086","Seel","Generation I","Seel hunts for prey in the frigid sea underneath sheets of ice. When it needs to breathe, it punches a hole through the ice with the sharply protruding section of its head.","Water","","Fire","Water","Ice","Steel","","","","","","","","","Electric","Grass","","","","","","Ice Shard","Ice","15","Aqua Jet","Water","25","78.75kg","101.25kg","0.96m","1.24m","3km (Medium)","130 stamina points.","85 attack points.","128 defense points.","9% chance to flee.","","","","","","","","","","","50","Seel candies","87","Dewgong","985","1107"
"","","","","","","","","","","","","","","","","","","","","","","","","","Lick","Ghost","5","Aqua Tail","Water","45","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Icy Wind","Ice","25","","","","","","","","","","","","","","","","","","","","","","","","",""
"087","Dewgong","Generation I","Dewgong loves to snooze on bitterly cold ice. The sight of this Pokémon sleeping on a glacier was mistakenly thought to be a mermaid by a mariner long ago.","Water","Ice","Water","Ice","","","","","","","","","","","Electric","Grass","Fighting","Rock","","","","Frost Breath","Ice","9","Aqua Jet","Water","25","105kg","135kg","1.49m","1.91m","3km (Medium)","180 stamina points.","139 attack points.","184 defense points.","6% chance to flee.","","","","","","","","","86","Seel","","","","","1975","2145"
"","","","","","","","","","","","","","","","","","","","","","","","","","Ice Shard","Ice","15","Blizzard","Ice","100","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Icy Wind","Ice","25","","","","","","","","","","","","","","","","","","","","","","","","",""
"088","Grimer","Generation I","Grimer's sludgy and rubbery body can be forced through any opening, however small it may be. This Pokémon enters sewer pipes to drink filthy wastewater.","Poison","","Grass","Fighting","Poison","Bug","Fairy","","","","","","","","Ground","Psychic","","","","","","Mud Slap","Ground","15","Mud Bomb","Ground","30","26.25kg","33.75kg","0.79m","1.01m","3km (Big)","160 stamina points.","135 attack points.","90 defense points.","10% chance to flee.","","","","","","","","","","","50","Grimer candies","89","Muk","1152","1284"
"","","","","","","","","","","","","","","","","","","","","","","","","","Poison Jab","Poison","12","Sludge","Poison","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sludge Bomb","Poison","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"089","Muk","Generation I","From Muk's body seeps a foul fluid that gives off a nose-bendingly horrible stench. Just one drop of this Pokémon's body fluid can turn a pool stagnant and rancid.","Poison","","Grass","Fighting","Poison","Bug","Fairy","","","","","","","","Ground","Psychic","","","","","","Lick","Ghost","5","Dark Pulse","Dark","45","26.25kg","33.75kg","1.05m","1.35m","3km (Big)","210 stamina points.","190 attack points.","184 defense points.","6% chance to flee.","","","","","","","","","88","Grimer","","","","","2414","2602"
"","","","","","","","","","","","","","","","","","","","","","","","","","Poison Jab","Poison","12","Gunk Shot","Poison","65","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sludge Wave","Poison","70","","","","","","","","","","","","","","","","","","","","","","","","",""
"090","Shellder","Generation I","At night, this Pokémon uses its broad tongue to burrow a hole in the seafloor sand and then sleep in it. While it is sleeping, Shellder closes its shell, but leaves its tongue hanging out.","Water","","Fire","Water","Ice","Steel","","","","","","","","","Electric","Grass","","","","","","Ice Shard","Ice","15","Bubble Beam","Water","30","3.5kg","4.5kg","0.26m","0.34m","3km (Medium)","60 stamina points.","116 attack points.","168 defense points.","10% chance to flee.","","","","","","","","","","","50","Shellder candies","91","Cloyster","715","822"
"","","","","","","","","","","","","","","","","","","","","","","","","","Tackle","Normal","12","Icy Wind","Ice","25","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Water Pulse","Water","35","","","","","","","","","","","","","","","","","","","","","","","","",""
"091","Cloyster","Generation I","Cloyster is capable of swimming in the sea. It does so by swallowing water, then jetting it out toward the rear. This Pokémon shoots spikes from its shell using the same system.","Water","Ice","Water","Ice","","","","","","","","","","","Electric","Grass","Fighting","Rock","","","","Frost Breath","Ice","9","Blizzard","Ice","100","115.94kg","149.06kg","1.31m","1.69m","3km (Big)","100 stamina points.","186 attack points.","323 defense points.","6% chance to flee.","","","","","","","","","90","Shellder","","","","","1879","2052"
"","","","","","","","","","","","","","","","","","","","","","","","","","Ice Shard","Ice","15","Hydro Pump","Water","90","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Icy Wind","Ice","25","","","","","","","","","","","","","","","","","","","","","","","","",""
"092","Gastly","Generation I","Gastly is largely composed of gaseous matter. When exposed to a strong wind, the gaseous body quickly dwindles away. Groups of this Pokémon cluster under the eaves of houses to escape the ravages of wind.","Ghost","Poison","Normal","Grass","Fighting","Poison","Bug","Fairy","","","","","","","Ground","Psychic","Ghost","Dark","","","","Lick","Ghost","5","Dark Pulse","Dark","45","0.09kg","0.11kg","1.14m","1.46m","3km (Flying)","60 stamina points.","186 attack points.","70 defense points.","10% chance to flee.","","","","","","","","","","","25","Gastly candies","93","Haunter","696","804"
"","","","","","","","","","","","","","","","","","","","","","","","","","Sucker Punch","Dark","7","Ominous Wind","Ghost","30","","","","","","","","","","","","","","","","","","","","","","94","Gengar","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sludge Bomb","Poison","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"093","Haunter","Generation I","Haunter is a dangerous Pokémon. If one beckons you while floating in darkness, you must never approach it. This Pokémon will try to lick you with its tongue and steal your life away.","Ghost","Poison","Normal","Grass","Fighting","Poison","Bug","Fairy","","","","","","","Ground","Psychic","Ghost","Dark","","","","Lick","Ghost","5","Dark Pulse","Dark","45","0.09kg","0.11kg","1.4m","1.8m","3km (Flying)","90 stamina points.","223 attack points.","112 defense points.","7% chance to flee.","","","","","","","","","92","Gastly","100","Gastly candies","94","Gengar","1240","1380"
"","","","","","","","","","","","","","","","","","","","","","","","","","Shadow Claw","Ghost","11","Shadow Ball","Ghost","45","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sludge Bomb","Poison","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"094","Gengar","Generation I","Sometimes, on a dark night, your shadow thrown by a streetlight will suddenly and startlingly overtake you. It is actually a Gengar running past you, pretending to be your shadow.","Ghost","Poison","Normal","Grass","Fighting","Poison","Bug","Fairy","","","","","","","Ground","Psychic","Ghost","Dark","","","","Shadow Claw","Ghost","11","Dark Pulse","Dark","45","35.44kg","45.56kg","1.31m","1.69m","3km (Big)","120 stamina points.","261 attack points.","156 defense points.","5% chance to flee.","","","","","","","","","92","Gastly","","","","","1907","2078"
"","","","","","","","","","","","","","","","","","","","","","","","","","Sucker Punch","Dark","7","Shadow Ball","Ghost","45","","","","","","","","","","","","","","","","","","93","Haunter","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sludge Bomb","Poison","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"095","Onix","Generation I","Onix has a magnet in its brain. It acts as a compass so that this Pokémon does not lose direction while it is tunneling. As it grows older, its body becomes increasingly rounder and smoother.","Rock","Ground","Normal","Fire","Electric","Poison","Flying","Rock","","","","","","","Water","Grass","Ice","Fighting","Ground","Steel","","Rock Throw","Rock","12","Iron Head","Steel","30","183.75kg","236.25kg","7.7m","9.9m","5km (Big)","70 stamina points.","85 attack points.","288 defense points.","9% chance to flee.","","","","","","","","","","","","","208","Steelix","745","857"
